user_ID,Claim,Grounds,Warrant,Backing,Qualifier,Rebuttals,How_helpful_app,identify_assumptions,analyze_evidence,identify_weaknesses,willing_change_position,consider_perspectives,To what extent did the app help you understand structure_arguments,self_ability_argument,mentally_demanding,structural_complexity
person_1,5,5,6,5,6,6,6,6,6,5,5,7,6,5,2,3
person_2,6,6,4,5,6,6,6,5,6,6,7,6,6,5,1,4
person_3,6,6,5,5,5,5,6,6,6,6,5,6,6,7,2,4
person_4,6,6,6,5,6,7,7,7,6,6,5,6,7,7,1,4
person_5,6,6,7,4,6,7,6,6,7,6,5,7,6,6,2,4
person_6,5,5,5,6,5,6,6,6,6,6,6,7,5,6,2,4
person_7,5,5,4,4,4,5,5,5,4,5,5,5,6,6,2,4
person_8,5,6,5,5,6,5,6,5,5,6,6,6,6,6,4,4
person_9,7,7,5,5,6,6,7,6,7,6,7,6,6,7,4,3
person_10,6,6,5,5,6,5,6,6,6,6,5,6,6,6,4,4
person_11,6,6,6,6,5,6,6,6,6,7,7,6,6,6,5,3
person_12,6,6,6,5,6,6,6,5,6,6,7,7,6,6,5,4
person_13,6,6,5,5,5,5,6,4,7,6,7,6,6,6,3,4
person_14,6,7,6,4,5,6,6,6,5,7,7,5,6,6,3,4
person_15,6,6,5,6,4,6,6,6,6,6,7,7,6,6,4,3
person_16,6,6,5,5,5,5,6,6,6,6,6,5,6,6,3,3




